# column 0 is pixels, column 1 is signal
2.430000000000000000e+02,4.557291666666666956e-03
2.440000000000000000e+02,1.432291666666666782e-02
2.450000000000000000e+02,7.812500000000000000e-03
2.460000000000000000e+02,9.765625000000000000e-03
2.470000000000000000e+02,9.440104166666666088e-03
2.480000000000000000e+02,1.757812500000000000e-02
2.490000000000000000e+02,2.050781250000000347e-02
2.500000000000000000e+02,6.510416666666666956e-03
2.510000000000000000e+02,7.812500000000000000e-03
2.520000000000000000e+02,8.789062499999998265e-03
2.530000000000000000e+02,9.114583333333332177e-03
2.540000000000000000e+02,9.765625000000000000e-04
2.550000000000000000e+02,1.106770833333333565e-02
2.560000000000000000e+02,2.213541666666666435e-02
2.570000000000000000e+02,5.859375000000000000e-03
2.580000000000000000e+02,6.184895833333333044e-03
2.590000000000000000e+02,7.161458333333333044e-03
2.600000000000000000e+02,2.180989583333333565e-02
2.610000000000000000e+02,2.180989583333333218e-02
2.620000000000000000e+02,1.888020833333333218e-02
2.630000000000000000e+02,8.138020833333333912e-03
2.640000000000000000e+02,2.604166666666666088e-02
2.650000000000000000e+02,2.083333333333333565e-02
2.660000000000000000e+02,3.938802083333332871e-02
2.670000000000000000e+02,3.548177083333333565e-02
2.680000000000000000e+02,3.776041666666666435e-02
2.690000000000000000e+02,3.190104166666667129e-02
2.700000000000000000e+02,5.533854166666666956e-03
2.710000000000000000e+02,3.580729166666666522e-03
2.720000000000000000e+02,1.334635416666666609e-02
2.730000000000000000e+02,5.208333333333333912e-03
2.740000000000000000e+02,4.231770833333333044e-03
2.750000000000000000e+02,2.832031250000000000e-02
2.760000000000000000e+02,4.622395833333333565e-02
2.770000000000000000e+02,1.432291666666666782e-02
2.780000000000000000e+02,3.580729166666666522e-03
2.790000000000000000e+02,4.557291666666666956e-03
2.800000000000000000e+02,2.246093749999999653e-02
2.810000000000000000e+02,2.115885416666666088e-02
2.820000000000000000e+02,1.009114583333333391e-02
2.830000000000000000e+02,3.157552083333333565e-02
2.840000000000000000e+02,1.953125000000000000e-02
2.850000000000000000e+02,2.408854166666666435e-02
2.860000000000000000e+02,1.985677083333333565e-02
2.870000000000000000e+02,2.929687500000000000e-02
2.880000000000000000e+02,1.269531250000000173e-02
2.890000000000000000e+02,1.497395833333333044e-02
2.900000000000000000e+02,1.367187500000000000e-02
2.910000000000000000e+02,1.757812500000000000e-02
2.920000000000000000e+02,2.050781250000000347e-02
